"","model_causalities_2014","","model_causalities_2015","","model_causalities_2016","","model_causalities_2017","","model_causalities_2018",""
"","b","ci95","b","ci95","b","ci95","b","ci95","b","ci95"
"coffee_pp_dp_2014","0.010","-0.007,0.026","","","","","","","",""
"coffee_pp_dp_2015","","","0.005","-0.014,0.024","","","","","",""
"coffee_pp_dp_2016","","","","","-0.002","-0.015,0.010","","","",""
"coffee_pp_dp_2017","","","","","","","0.004","-0.013,0.021","",""
"coffee_pp_dp_2018","","","","","","","","","0.004","-0.013,0.021"
"oil_pp_dp_2014","-0.005","-0.012,0.003","","","","","","","",""
"oil_pp_dp_2015","","","-0.005","-0.013,0.003","","","","","",""
"oil_pp_dp_2016","","","","","-0.001","-0.016,0.013","","","",""
"oil_pp_dp_2017","","","","","","","-0.004","-0.008,0.001","",""
"oil_pp_dp_2018","","","","","","","","","-0.004","-0.014,0.007"
"N","11692","","11692","","11692","","11692","","11692",""
